Water Year,09480000streamflow(cfs),11151300streamflow(cfs),11098000streamflow(cfs),10172700streamflow(cfs),08194200streamflow(cfs),08267500streamflow(cfs),06154410streamflow(cfs),02235200streamflow(cfs),02177000streamflow(cfs),07315200streamflow(cfs),12041200streamflow(cfs),10259000streamflow(cfs)
1981,0.35034188034188035,6.2854520547945265,3.517726027397255,4.128767123287673,157.76687671232872,16.712602739726027,2.6076712328767133,-351.48289473684196,336.8383561643836,17.852383561643848,2881.4301369863015,3.201095890410955
1982,1.1416713091922002,10.178493150684925,8.0893698630137,4.532602739726029,64.22928767123288,32.965753424657535,3.506027397260275,-290.6281690140845,572.0986301369863,127.94887671232881,2878.3232876712327,4.904931506849317
1983,7.387965616045852,63.53832876712331,40.66890410958903,12.002465753424657,13.681890410958935,57.47945205479452,2.804931506849312,-528.3642172523962,813.3095890410959,7.23526027397261,2998.0465753424655,12.377808219178078
1984,16.80272727272727,10.122131147540987,4.833087431693981,10.602732240437161,2.43983606557377,38.53825136612022,1.9530054644808716,-644.1294964028777,748.1420765027323,3.0418852459016272,2624.658469945355,4.740983606557379
1985,4.935231316725975,4.037917808219176,3.472356164383563,9.283835616438358,83.67794520547942,53.49424657534247,2.46857534246575,-694.4490797546013,460.1013698630137,86.87347945205475,2000.3287671232877,2.791780821917809
1986,2.980198300283287,15.705397260273982,6.833534246575345,7.96054794520548,50.561726027397334,41.28219178082192,6.353972602739721,43.187290969899664,365.47123287671235,25.83783561643839,2396.372602739726,4.155068493150686
1987,1.0971349862258972,3.6184383561643885,1.343753424657535,5.72684931506849,43.79978082191781,40.12328767123287,4.930136986301374,26.245017182130578,605.7741046831956,50.96561643835616,2308.8794520547945,2.5562739726027406
1988,1.069277777777778,3.155109289617482,5.12871584699454,3.9445355191256843,3.733415300546448,25.504918032786883,2.438251366120219,39.50310559006211,351.59562841530055,8.341174863387979,2040.7622950819673,1.883770491803281
1989,0.9993646408839774,1.0923835616438322,2.538246575342465,3.0232876712328722,10.558931506849317,31.57013698630137,4.034246575342471,32.80328767123288,635.5917808219178,80.85780821917805,2348.3561643835615,1.5385205479452062
1990,1.771229050279329,0.9199726027397263,1.0383835616438353,2.1238356164383645,10.43309589041096,31.539178082191786,4.197808219178076,18.120273972602735,806.4767123287671,126.07953424657542,2550.2438356164384,1.2366301369863026
1991,0.8516438356164365,12.704958904109589,4.83331506849315,1.940000000000005,22.02698630136986,42.293150684931504,4.73945205479452,27.282666666666668,754.0904109589042,5.073342465753423,3276.778082191781,2.400986301369864
1992,0.7390384615384621,6.606420765027352,19.113688524590184,1.5636612021857996,20.96879781420765,41.35792349726776,2.0855191256830623,16.3915300546448,659.7267759562842,115.60833333333333,2241.587431693989,1.955081967213116
1993,5.030453074433655,31.019150684931482,43.13852054794519,3.006301369863015,21.127808219178085,55.244383561643836,6.072602739726028,50.227138643067846,843.786301369863,63.55942465753418,1816.1534246575343,10.206356164383555
1994,0.7943611111111111,2.386082191780823,3.1859726027397284,2.1298630136986283,5.4449041095890385,53.949589041095884,5.41287671232877,31.694357366771147,671.6109589041096,17.59002739726029,2078.8794520547945,2.5701095890411003
1995,2.5473463687150844,52.329589041095886,24.80402739726028,3.2983561643835637,15.55904109589041,63.37808219178082,2.683013698630137,49.73737373737374,729.972602739726,33.39939726027397,2524.0739726027396,5.449315068493149
1996,1.2918888888888884,12.218633879781407,6.943196721311478,2.710109289617487,17.559699453551914,18.161202185792348,3.0997267759562823,51.98695652173913,771.5983606557377,0.43901639344262294,3171.554644808743,1.8903005464480882
1997,1.8604709141274238,25.767369863013737,5.340931506849316,3.683287671232878,10.254164383561644,38.71260273972602,3.010465753424656,22.411174785100286,719.5232876712329,53.57180821917805,3166.8109589041096,1.8321095890410957
1998,1.0786274509803924,81.42493150684938,28.081589041095906,7.035068493150676,7.135287671232877,29.7358904109589,2.9752602739725997,25.91516393442623,755.8630136986301,26.58884931506852,2317.5753424657532,4.470958904109592
1999,4.47091168091168,8.276712328767141,2.8921917808219098,4.904109589041101,37.586958904109586,30.776438356164384,3.223287671232874,27.271428571428572,452.9917808219178,6.149452054794526,3452.4164383561642,1.627068493150685
2000,3.0174366197183082,19.508360655737704,4.084808743169404,3.5748633879781444,1.536967213114754,13.846994535519121,1.5508196721311454,23.198853868194835,427.45081967213116,1.2657103825136613,2692.0464480874316,1.4281420765027326
2001,4.038590163934425,13.09210958904111,4.453397260273973,2.7090410958904125,39.70345205479452,35.3772602739726,1.4602739726027438,13.727873563218388,297.73150684931505,53.700958904109555,1814.676712328767,1.1743561643835605
2002,0.336904109589041,3.6369315068493115,0.6513698630136984,2.1805479452054772,201.70999999999995,9.993424657534243,2.1336438356164393,45.025517241379305,389.4109589041096,7.028082191780822,3040.690410958904,0.8257534246575361
2003,0.20095890410958886,6.522931506849311,3.195972602739726,1.925753424657533,20.648630136986306,22.23506849315068,1.6561917808219215,52.24215246636771,803.082191780822,0.9328219178082191,2295.4,1.6993972602739762
2004,0.1749726775956286,1.7039344262295066,1.7764480874316886,2.1245901639344242,154.104344262295,19.800273224043714,2.5852459016393414,29.25609756097561,754.5546448087432,7.3002459016393475,2777.55737704918,1.100491803278688
2005,0.10641095890410963,27.171342465753437,52.3340821917808,6.446301369863009,17.24024657534248,48.38712328767123,2.9706849315068506,61.46192893401015,967.6,20.00178082191782,2194.572602739726,6.078712328767122
2006,3.6892696629213466,12.157178082191786,7.23621917808219,5.921369863013694,22.34345205479452,17.81068493150685,2.8008219178082188,28.777972027972034,437.85205479452054,3.957479452054794,2456.7835616438356,2.1598356164383583
