,Year,Mnth,09480000 prcp(mm/day),11151300 prcp(mm/day),10172700 prcp(mm/day),08194200 prcp(mm/day),08267500 prcp(mm/day),06154410 prcp(mm/day),02235200 prcp(mm/day),02177000 prcp(mm/day),07315200 prcp(mm/day),12041200 prcp(mm/day),10259000 prcp(mm/day)
0,1980,1,0.7035483870967741,4.206774193548387,5.035483870967742,0.4116129032258065,3.07,0.3716129032258065,2.9603225806451614,6.873225806451613,1.0229032258064517,11.808709677419357,7.953225806451614
1,1980,2,2.0079310344827586,6.189310344827587,4.240689655172414,0.7086206896551726,2.7006896551724138,0.3055172413793103,1.1544827586206898,2.252413793103448,1.4706896551724138,21.214482758620687,11.994827586206897
2,1980,3,0.8177419354838709,2.0022580645161288,2.533225806451613,0.12322580645161291,1.9009677419354836,0.6980645161290323,2.869677419354839,14.254516129032258,0.67,12.067741935483872,3.6274193548387097
3,1980,4,0.044333333333333336,1.5899999999999999,0.6873333333333332,0.04566666666666667,1.8376666666666666,0.6663333333333334,4.307666666666667,7.418666666666667,0.4043333333333333,12.139666666666663,0.7546666666666667
4,1980,5,0.0,0.21258064516129033,2.8764516129032254,2.3290322580645157,2.326774193548387,1.1761290322580646,3.851935483870968,6.647096774193548,4.5035483870967745,6.9399999999999995,0.02967741935483871
5,1980,6,0.756,0.0,0.028666666666666667,0.03266666666666666,0.0,2.3336666666666663,4.362333333333333,4.494333333333333,1.3753333333333333,4.300333333333333,0.0
6,1980,7,1.6896774193548387,0.21516129032258063,0.001935483870967742,0.39,1.0264516129032257,0.39741935483870966,6.041290322580646,1.3516129032258064,0.05967741935483871,2.393548387096774,0.0
7,1980,8,4.2061290322580644,0.0,0.3361290322580645,4.452258064516128,2.766451612903226,0.9987096774193549,4.772258064516129,1.994516129032258,0.12032258064516128,3.443225806451612,0.0
8,1980,9,1.1286666666666667,0.0,1.748,1.242,0.648,0.3233333333333333,3.311,6.739999999999999,7.104,8.238666666666667,0.0
9,1980,10,0.0,0.0,0.9048387096774194,0.14419354838709678,1.8806451612903226,1.3535483870967742,1.2841935483870968,3.356451612903226,1.3496774193548389,5.202258064516128,0.29
10,1980,11,0.002,0.115,0.9256666666666666,2.4016666666666664,0.637,0.21,3.721333333333334,4.060333333333333,1.591,26.31566666666667,0.0
11,1980,12,0.4090322580645161,1.1077419354838711,0.25387096774193546,0.21258064516129033,0.09709677419354838,0.40677419354838706,0.5838709677419354,0.7264516129032259,1.511935483870968,22.99935483870968,1.5667741935483872
12,1981,1,1.2970967741935482,3.6051612903225805,0.7238709677419355,1.6716129032258067,0.33709677419354844,0.28258064516129033,0.2761290322580645,0.9883870967741936,0.09032258064516129,8.43741935483871,2.673548387096774
13,1981,2,1.1842857142857144,1.4521428571428572,0.9010714285714286,0.39999999999999997,0.13714285714285715,0.09178571428571428,3.7789285714285716,7.250357142857143,2.152857142857143,15.406785714285714,1.8625000000000003
14,1981,3,2.5890322580645164,4.111935483870968,2.232258064516129,1.917741935483871,2.063225806451613,0.4687096774193549,2.7496774193548386,3.675483870967742,2.7319354838709677,8.249677419354837,2.380322580645161
15,1981,4,0.31666666666666665,0.6950000000000001,1.6836666666666666,2.4650000000000003,1.053,0.2353333333333333,0.0,2.836666666666667,2.5733333333333333,13.484666666666666,0.262
16,1981,5,0.42387096774193544,0.0,2.8841935483870973,5.703548387096776,1.9606451612903226,5.560322580645161,1.365483870967742,7.701935483870967,5.211290322580646,5.543225806451613,0.46
17,1981,6,0.39299999999999996,0.0,0.054000000000000006,5.365666666666667,1.4803333333333333,3.1943333333333332,4.41,3.1546666666666665,2.4836666666666662,7.881333333333333,0.0
18,1981,7,6.726451612903225,0.0,0.25548387096774194,1.4183870967741938,3.9564516129032254,2.14516129032258,7.800645161290322,4.319999999999999,0.08225806451612902,2.561935483870968,0.0
19,1981,8,1.6187096774193548,0.0,0.6206451612903227,1.6738709677419354,4.090967741935484,0.5335483870967742,7.566451612903226,1.202258064516129,0.7887096774193549,1.3325806451612905,0.0
20,1981,9,1.5063333333333335,0.0,2.3370000000000006,0.03033333333333333,1.227,0.6993333333333334,2.741,4.300666666666666,2.654333333333333,8.007666666666667,0.7366666666666667
21,1981,10,1.3090322580645164,0.9122580645161291,3.536451612903227,3.2961290322580643,1.245806451612903,2.588709677419355,1.8612903225806452,4.266774193548387,12.571935483870966,13.311612903225804,0.12258064516129032
22,1981,11,0.544,3.506333333333333,0.9946666666666666,0.0,1.1189999999999998,0.16366666666666668,2.0180000000000002,3.1090000000000004,1.046,17.709333333333333,0.8796666666666667
23,1981,12,0.0,0.8945161290322581,2.1393548387096777,0.1429032258064516,0.6332258064516129,0.2158064516129032,3.3558064516129034,6.527741935483871,0.20258064516129032,20.55774193548388,0.0
24,1982,1,1.5658064516129033,3.0170967741935484,2.1222580645161293,0.0006451612903225806,1.9735483870967743,3.286451612903226,2.105483870967742,8.111290322580645,1.2203225806451612,21.75,6.8909677419354844
25,1982,2,0.25035714285714283,0.9217857142857143,1.237142857142857,2.4035714285714285,1.505357142857143,1.6185714285714288,3.156071428571429,9.641071428571427,1.4339285714285714,22.536785714285717,3.1035714285714286
26,1982,3,0.5812903225806452,5.0690322580645155,4.071612903225807,0.35774193548387095,1.4045161290322579,1.050322580645161,5.430000000000001,2.8906451612903226,1.6016129032258064,12.160645161290324,4.314516129032258
27,1982,4,0.0,3.647,0.5526666666666666,1.539333333333333,0.21533333333333332,0.452,4.821,6.263999999999999,1.926,13.404000000000002,0.9123333333333332
