,Year,Mnth,09480000tmax(C),09480000tmin(C),11151300tmax(C),11151300tmin(C),10172700tmax(C),10172700tmin(C),08194200tmax(C),08194200tmin(C),08267500tmax(C),08267500tmin(C),06154410tmax(C),06154410tmin(C),02235200tmax(C),02235200tmin(C),02177000tmax(C),02177000tmin(C),07315200tmax(C),07315200tmin(C),12041200tmax(C),12041200tmin(C),10259000tmax(C),10259000tmin(C)
0,1980,1,15.69903225806452,0.7796774193548388,14.373225806451615,2.159677419354838,3.410645161290323,-9.284193548387098,20.767096774193547,7.288387096774194,1.5380645161290325,-14.31,-5.956774193548387,-18.639032258064518,20.65096774193548,8.230322580645163,8.639677419354838,-1.0748387096774192,12.239677419354841,-0.18838709677419355,0.12741935483870967,-6.876129032258064,12.800322580645162,2.1012903225806445
1,1980,2,17.71068965517242,2.6031034482758626,16.421379310344825,3.29,5.921724137931035,-6.920344827586208,21.362758620689654,7.069655172413794,2.4513793103448274,-14.794482758620688,-0.6034482758620693,-12.69,19.53103448275862,6.3072413793103435,7.894137931034484,-5.944137931034482,14.204827586206894,-1.4675862068965513,5.200344827586207,-3.4182758620689655,15.502068965517243,2.0089655172413794
2,1980,3,18.072258064516134,1.7712903225806451,15.806451612903226,0.7283870967741936,5.357096774193548,-8.058709677419355,26.62677419354839,12.001612903225807,1.9174193548387097,-11.606451612903225,2.9658064516129037,-9.966774193548392,25.689354838709672,12.860645161290325,13.204193548387098,-0.051935483870968066,19.514516129032256,2.753870967741935,6.800645161290324,-2.6132258064516134,14.310967741935487,0.2564516129032258
3,1980,4,23.246666666666663,4.187,20.196666666666662,3.245333333333334,13.232333333333335,-1.669,30.55766666666666,14.817666666666664,6.534333333333334,-10.549666666666665,15.658333333333335,0.679666666666667,27.366333333333333,14.118,18.819000000000003,4.5153333333333325,25.274333333333335,8.233333333333333,12.621333333333334,0.4989999999999997,20.266,3.914333333333333
4,1980,5,26.171612903225803,6.979999999999999,21.96129032258065,4.945483870967743,15.323548387096773,1.353225806451613,33.739677419354834,21.00193548387097,11.381290322580647,-4.787096774193549,20.692258064516135,4.324193548387096,29.88322580645161,18.28967741935484,23.841290322580644,9.910645161290322,29.16,15.11483870967742,14.71258064516129,2.8299999999999996,19.565483870967743,4.52258064516129
5,1980,6,34.955,13.050666666666666,27.12966666666666,5.662666666666668,24.51633333333333,5.559333333333332,38.687666666666665,24.224333333333334,21.648,-1.594333333333334,22.72500000000001,7.851333333333334,32.38966666666667,20.379,27.048000000000002,13.861999999999998,36.751666666666665,22.076999999999995,14.475333333333333,4.846000000000001,29.250333333333334,8.490333333333334
6,1980,7,33.82677419354839,17.039354838709674,31.349677419354837,10.900322580645161,29.766774193548386,10.661935483870968,39.752258064516134,24.33483870967742,23.319032258064517,0.6358064516129033,27.938064516129028,10.464516129032258,33.84709677419354,22.690322580645166,30.61290322580646,16.808064516129033,40.84548387096774,23.83258064516129,19.46741935483871,8.188709677419356,34.174193548387095,14.780322580645157
7,1980,8,31.235161290322573,15.269677419354839,30.279032258064518,9.464838709677418,28.399677419354838,8.882258064516128,35.74193548387097,23.64516129032258,20.183548387096774,-0.3209677419354836,23.637096774193548,7.128709677419353,33.39387096774194,22.655806451612904,30.086774193548383,15.447419354838713,38.588709677419345,23.273870967741935,19.144193548387097,7.170967741935481,31.739032258064515,12.380967741935484
8,1980,9,30.702333333333335,12.731333333333334,29.008,6.5619999999999985,23.57633333333333,5.735666666666665,35.08566666666666,22.72533333333333,17.945666666666664,-2.3903333333333334,20.987333333333336,4.6949999999999985,32.61966666666667,21.415333333333333,26.23233333333333,14.310333333333334,33.170333333333325,19.292333333333332,17.613666666666667,5.6916666666666655,30.03166666666667,10.825
9,1980,10,24.615806451612908,6.490000000000001,27.431935483870966,3.6225806451612907,17.75870967741935,-0.6548387096774194,28.660000000000007,15.32612903225806,11.375806451612902,-10.130645161290323,13.660645161290324,0.15483870967741925,28.932903225806463,16.50225806451613,18.53774193548387,5.158064516129033,25.754193548387097,9.739032258064519,15.024838709677418,0.9406451612903223,25.89516129032258,7.44516129032258
10,1980,11,20.149,1.810666666666667,20.913000000000007,-0.8539999999999999,10.788,-5.452333333333333,21.96166666666667,8.413333333333334,6.412000000000001,-13.53866666666667,8.01,-5.256666666666667,23.838999999999995,12.407666666666668,14.369333333333334,0.3886666666666665,17.959333333333333,4.405000000000001,5.387000000000001,-1.3916666666666666,20.56933333333333,2.6849999999999996
11,1980,12,18.88774193548387,1.3238709677419351,17.27935483870968,-1.0464516129032262,7.522580645161291,-7.736451612903226,19.09032258064516,8.049032258064514,6.2219354838709675,-10.978064516129036,-1.510967741935485,-13.235483870967746,19.729032258064517,7.212903225806451,11.15967741935484,-3.8041935483870963,15.738387096774195,1.6667741935483866,4.327419354838709,-2.688064516129032,18.33806451612903,3.0161290322580645
12,1981,1,15.052258064516128,0.8503225806451615,16.399032258064516,0.8293548387096774,2.9509677419354845,-9.670645161290325,18.03290322580645,6.034516129032259,4.708709677419355,-16.611290322580647,4.674838709677418,-9.144193548387095,17.54838709677419,2.1106451612903228,6.912903225806451,-6.883225806451613,13.454193548387096,-0.6516129032258067,3.867741935483871,-2.3245161290322587,15.12483870967742,0.9261290322580651
